Date,Permit Number,Permit Type,Usage,Description,Address,Status
2014-12-31,14002385,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 27 MODULES WITH ONE INVERTER. 7.02KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"10284 E DR, GRASS VALLEY CA 95945",Void
2014-12-31,14002386,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 20 MODULES WITH ONE INVERTER. 5.1KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"436 CLAY ST, NEVADA CITY CA 95959",CLOSED
2014-12-30,14002383,Full Review,Solar Array,"NEW 6.8kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 28 SUNPOWER MODULES 245W. 1 SOLAREDGE 6000W INVERTER. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","19182 SWALLOW WAY, PENN VALLEY CA 95946",CLOSED
2014-12-30,14002384,Full Review,Solar Array,"NEW 1.92kW ROOF MOUNT SOLAR PV SYSTEM ON HOME , 8 SUNPOWER 245W MODULES, 8 P400 OPTIMIZERS, 1 SOLAREDGE 3800W INVERTER. 6/1/2015 REVISION: CHANGEOUT 100amp TO 200amp SERVICE PANEL. PERMIT IS GOOD FOR TWO INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","11112 JOHN MUIR LN, NEVADA CITY CA 95959",CLOSED
2014-12-23,14002349,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 30 MODULES WITH MICRO INVERTERS. 8.4KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"21251 MCDANIEL RD, SMARTSVILLE CA 95977",CLOSED
2014-12-23,14002350,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 25 MODULES WITH 1 INVERTER.  6.125 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"12461 POLARIS DR, GRASS VALLEY CA 95949",CLOSED
2014-12-23,14002351,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 21 MODULES WITH 1 INVERTER. 5.145 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"11051 TERRACE OAKS LN, PENN VALLEY CA 95946",CLOSED
2014-12-22,14002333,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY ON EXISTING BARN. 8 MODULES WITH 1 INVERTER. 1.96KW. INSPECTOR TO VERIFY STATUS OF STRUCTURE AS NON HABITABLE BARN. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"17373 LOWER COLFAX RD, GRASS VALLEY CA 95945",CLOSED
2014-12-22,14002334,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY ON DETACHED GARAGE/SHOP. 22 MODULES WITH 1 INVERTER. 6.615 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"18744 CHEROKEE RD, GRASS VALLEY CA 95949",CLOSED
2014-12-22,14002339,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 48 MODULES WITH 1 INVERTER. CHANGE OUT ELECTRICAL SERVICE PANEL. 12.48KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"12905 BRADFORD DR, GRASS VALLEY CA 95945",CLOSED
2014-12-22,14002340,Full Review,Solar Array,10/5/15 VOIDED PER CONTRACTOR. SM ROOF MOUNTED SOLAR ARRAY. 17 MODULES WITH 1 INVERTER. 4.42KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"16508 KIWI RD, GRASS VALLEY CA 95949",VOID
2014-12-22,14002343,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 16 MODULES WITH 1 INVERTER. 5.04 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"11221 HORTON ST, PENN VALLEY CA 95946",CLOSED
2014-12-15,14002300,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 37 MODULES WITH 2 INVERTERS. 9.62 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"11578 LAKE WILDWOOD DR, PENN VALLEY CA 95946",CLOSED
2014-12-15,14002301,Full Review,Solar Array,ROFF MOUNT SOLAR ARRAY. 29 MODULES WITH 1 INVERTER. 7.54 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"11734 LOWHILLS RD, NEVADA CITY CA 95959",CLOSED
2014-12-12,14002295,Full Review,Solar Array,"NEW 5.2kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 16 MODULES 327W, 1 INVERTER 6000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","13797 LAKE WILDWOOD DR, PENN VALLEY CA 95946",CLOSED
2014-12-11,14002289,Full Review,Solar Array,"NEW 7.0kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 25 MODULES 280W, 25 ENPHASE MICRO-INVERTERS. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","14499 FLICKER DR, GRASS VALLEY CA 95949",CLOSED
2014-12-09,14002272,Full Review,Solar Array,5/27/15 VOIDED PER OWNER. PROJECT CANCELED. SM ROOF MOUNTED SOLAR ARRAY. 23 MODULES WITH ONE INVERTER. 5.98 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"12571 CREEK VIEW DR, GRASS VALLEY CA 95949",VOID
2014-12-09,14002273,Full Review,Solar Array,ROOF MOUNT SOLAR ON EXISTING DETACHED GARAGE. 27 MODULES WITH 1 INVERTER. 6.885 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"10397 GAUTIER DR, GRASS VALLEY CA 95602",CLOSED
2014-12-08,14002267,Full Review,Solar Array,GROUND MOUNT SOLAR ARRAY. 5 POLE MOUNTED ARRAYS OF 15 MODULES EACH FOR A TOTAL OF 75 MODULES WITH 2 INVERTERS. 12/30/2014 REVISION: ADD TO SITE PLAN 135 FT.X 1 & 2 INCH EMPTY CONDUIT FOR FUTURE BACKUP GENERATOR. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"13094 DAISY BLUE MINE RD, NEVADA CITY CA 95959",CLOSED
2014-12-04,14002249,Full Review,Solar Array,"NEW RESIDENTIAL GROUND MOUNT SOLAR PV SYSTEM LOCATED NORTHEAST OF PROPERTY. 36 MODELS 255W, 2 INVERTERS 5000W. 650 FT. DC POWER 3 INCH CONDUIT WITH #4ga. wire 600v 2 circuits. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","14177 MOUNT AUBURN CIR, NEVADA CITY CA 95959",CLOSED
2014-12-04,14002251,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 36 MODULES WITH MICRO INVERTERS. 9.9 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"13503 WINTERWOOD LN, NEVADA CITY CA 95959",CLOSED
2014-12-04,14002252,Full Review,Solar Array,"NEW 8.48kW GROUND MOUNT SOLAR PV SYSTEM, 32 MODULES 265W, 1 INVERTER 7600W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","13330 LODESTAR DR, GRASS VALLEY CA 95949",CLOSED
2014-12-03,14002246,Full Review,Solar Array,"NEW 4.165kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 17 SUNPOWDER MODLES, 17 SOLAREDGE P400 OPTIMIZERS, 1 SOLAREDGE 3800W INVERTER. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","16600 JOEY CT, GRASS VALLEY CA",CLOSED
2014-12-02,14002229,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 30 MODULES WITH 2 INVERTERS. 9.81 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"10411 ROUGH AND READY RD, PENN VALLEY CA 95975",EXPIRED
2014-12-01,14002224,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 17 MODULES WITH 1 INVERTER.  5.36 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"26393 TABLE MEADOW RD, GRASS VALLEY CA 95602",CLOSED
2014-12-01,14002225,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 12 MODULES WITH 2 INVERTERS AND A BATTERY BACKUP.    2.76 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"16758 GIANTS CSWY, GRASS VALLEY CA 95949",CLOSED
